source,landmark_estimate,eccentricity,reached,distance_sum
841907,441,508,1957027,442612016
840829,444,511,1957027,438107592
1505993,448,511,1957027,435307928
856299,446,513,1957027,445673400
1525760,451,514,1957027,463068977
1527366,452,515,1957027,455114731
1527087,453,516,1957027,455148721
852424,450,517,1957027,443071142
1505935,454,517,1957027,442846240
777248,460,519,1957027,565789851
1803122,508,520,1957027,499142305
1505965,458,521,1957027,450174273
1805803,513,521,1957027,510635709
788410,498,522,1957027,517046939
854599,455,522,1957027,460377772
1659096,456,523,1957027,452733063
704194,489,524,1957027,577520300
855607,457,524,1957027,458788845
1484785,515,524,1957027,499187963
1506922,461,524,1957027,452930291
740087,459,525,1957027,571017097
1490259,514,526,1957027,499969646
1531250,459,526,1957027,447570810
1788709,504,526,1957027,511892769
1794431,474,526,1957027,536549974
790256,478,527,1957027,576465318
1531258,460,527,1957027,450956988
1791499,505,527,1957027,517223988
1893526,473,527,1957027,581266030
741710,477,528,1957027,584889563
778319,521,528,1957027,520039995
840055,465,528,1957027,489023818
1483994,517,528,1957027,503103732
1530522,465,528,1957027,457083655
1789117,520,528,1957027,508749375
1800917,488,528,1957027,524617728
794350,507,529,1957027,531783681
858744,462,529,1957027,467290888
1597203,522,529,1957027,496980592
1791890,478,529,1957027,539195947
714950,471,530,1957027,560059896
741694,480,530,1957027,588910164
782385,487,530,1957027,537144728
796679,456,530,1957027,557313160
842741,463,530,1957027,483224784
1490961,508,530,1957027,521588479
1647971,463,530,1957027,463035827
205749,509,531,1957027,532155976
714370,461,531,1957027,553435789
797516,503,531,1957027,538905033
864718,464,531,1957027,469823124
1796693,497,531,1957027,523952923
1894494,457,531,1957027,564038664
745863,482,532,1957027,590608057
715180,490,533,1957027,585394785
715326,492,533,1957027,583882555
744193,483,533,1957027,591555337
796897,533,533,1957027,502329159
855531,466,533,1957027,480346657
1649100,466,533,1957027,470309303
714206,468,534,1957027,562081623
776704,534,534,1957027,512907024
779536,527,534,1957027,526712009
858908,467,534,1957027,475437385
1651216,467,534,1957027,472250969
1804465,489,534,1957027,534613278
1804511,483,534,1957027,538749304
1903785,475,534,1957027,594975931
860662,468,535,1957027,477841691
1652727,468,535,1957027,471442219
1902158,477,535,1957027,597020936
201781,485,536,1957027,551910597
712958,479,536,1957027,559336885
736260,486,536,1957027,600485925
736377,494,536,1957027,601203563
745852,481,536,1957027,599128961
864151,469,536,1957027,470546339
1654298,469,536,1957027,473136571
1803760,511,536,1957027,533815536
1805525,491,536,1957027,540745237
716275,503,537,1957027,590083432
792417,500,537,1957027,534746286
864624,470,537,1957027,470522948
1515384,474,537,1957027,444947412
1604999,521,537,1957027,504568917
1653602,470,537,1957027,475115337
1796819,507,537,1957027,537196546
862155,471,538,1957027,481898357
1651742,471,538,1957027,478490512
1787451,487,538,1957027,544558018
1891843,479,538,1957027,601638753
713818,491,539,1957027,580478027
742966,510,539,1957027,600909665
859004,472,539,1957027,483327714
1519981,476,539,1957027,448277170
1646645,472,539,1957027,478187189
204541,488,540,1957027,553567111
795870,474,540,1957027,559837174
842869,473,540,1957027,499358299
1484302,518,540,1957027,517348926
1490234,503,540,1957027,529907805
1540155,473,540,1957027,466004538
1798099,501,540,1957027,541338908
1903565,466,540,1957027,581206393
1120,538,541,1957027,509849503
1482525,516,541,1957027,523819124
1507663,478,541,1957027,477465089
1594801,507,541,1957027,492148594
1804577,490,541,1957027,552436001
1901551,481,541,1957027,606147635
739017,511,542,1957027,609819671
839738,479,542,1957027,509730430
861875,475,542,1957027,489329962
1483272,526,542,1957027,520272132
1495384,532,542,1957027,530483531
1647655,475,542,1957027,483434536
1900586,472,542,1957027,563189196
785480,485,543,1957027,581549428
831479,476,543,1957027,484532059
1198721,502,543,1957027,493492720
736113,464,544,1957027,582723117
738179,495,544,1957027,603700267
787993,488,544,1957027,599842540
861501,477,544,1957027,490848715
1494391,533,544,1957027,528367433
1646966,477,544,1957027,486649922
717704,497,545,1957027,593328960
1492218,534,545,1957027,527806672
737459,475,546,1957027,585219842
