algorithm,dataset,q,mode,baseline_wall_ms,refactor_wall_ms,wall_ratio_refactor_over_baseline,baseline_gpu_ms,refactor_gpu_ms,gpu_ratio_refactor_over_baseline,baseline_status,refactor_status,verdict
bfs,cit-Patents,16,hybrid,101.69,50.2666,0.49431212508604583,101.677,50.2527,0.4942386183699361,0,0,PASS
bfs,cit-Patents,16,pull,98.0785,98.6902,1.0062368408978521,98.0659,98.6776,1.0062376422385355,0,0,PASS
bfs,cit-Patents,16,push,194.251,180.547,0.9294521006326866,194.238,180.525,0.9294010440799432,0,0,PASS
bfs,cit-Patents,32,hybrid,143.269,65.3253,0.4559625599396938,143.257,65.3122,0.45590930984175293,0,0,PASS
bfs,cit-Patents,32,pull,125.173,125.562,1.0031076989446606,125.159,125.549,1.003116036401697,0,0,PASS
bfs,cit-Patents,32,push,284.833,267.555,0.939339893902743,284.822,267.543,0.9393340402075683,0,0,PASS
bfs,cit-Patents,64,hybrid,224.805,156.748,0.6972620715731411,224.792,156.735,0.6972445638634828,0,0,PASS
bfs,cit-Patents,64,pull,279.026,316.062,1.1327331503157412,279.015,316.048,1.1327276311309429,0,0,REGRESSION_GT_3PCT
bfs,cit-Patents,64,push,364.38,345.333,0.9477276469619629,364.368,345.321,0.9477259254380188,0,0,PASS
bfs,soc-orkut,16,hybrid,93.0633,92.5174,0.9941341001232494,93.0504,92.5034,0.994121465356409,0,0,PASS
bfs,soc-orkut,16,pull,216.504,216.749,1.0011316188153567,216.493,216.735,1.0011178190518863,0,0,PASS
bfs,soc-orkut,16,push,278.158,272.838,0.9808741794232055,278.145,272.827,0.9808804760107139,0,0,PASS
bfs,soc-orkut,32,hybrid,124.403,124.383,0.9998392321728575,124.39,124.37,0.9998392153710106,0,0,PASS
bfs,soc-orkut,32,pull,246.227,246.335,1.0004386196477235,246.215,246.322,1.000434579534147,0,0,PASS
bfs,soc-orkut,32,push,348.331,342.173,0.9823214126793194,348.313,342.161,0.9823377249772475,0,0,PASS
bfs,soc-orkut,64,hybrid,277.706,387.657,1.3959259072544343,277.693,387.645,1.3959480433428282,0,0,REGRESSION_GT_3PCT
bfs,soc-orkut,64,pull,655.026,716.723,1.094190154283952,655.015,716.712,1.094191736067113,0,0,REGRESSION_GT_3PCT
bfs,soc-orkut,64,push,466.121,461.676,0.9904638495154692,466.107,461.663,0.9904657085175721,0,0,PASS
bfs,soc-sinaweibo,16,hybrid,346.509,343.815,0.9922253101651038,346.496,343.803,0.9922279045068342,0,0,PASS
bfs,soc-sinaweibo,16,pull,703.43,996.408,1.4164991541446912,703.42,996.396,1.416502231952461,0,0,REGRESSION_GT_3PCT
bfs,soc-sinaweibo,16,push,1147.51,1046.13,0.9116521860375946,1147.51,1046.12,0.911643471516588,0,0,PASS
bfs,soc-sinaweibo,32,hybrid,772.675,749.431,0.9699174944187402,772.665,749.421,0.969917105084351,0,0,PASS
bfs,soc-sinaweibo,32,pull,894.378,901.756,1.008249308457945,894.37,901.747,1.0082482641412391,0,0,PASS
bfs,soc-sinaweibo,32,push,1753.01,1583.42,0.9032578251122356,1753.01,1583.42,0.9032578251122356,0,0,PASS
bfs,soc-sinaweibo,64,hybrid,1288.43,1302.56,1.0109668356061252,1288.42,1302.55,1.0109669207246084,0,0,PASS
bfs,soc-sinaweibo,64,pull,2098.84,2226.36,1.060757370738122,2098.83,2226.34,1.060752895660916,0,0,REGRESSION_GT_3PCT
bfs,soc-sinaweibo,64,push,2027.74,1851.98,0.9133222207975381,2027.74,1851.98,0.9133222207975381,0,0,PASS
bfs,soc-twitter,16,hybrid,625.554,750.918,1.200404761219655,625.542,750.904,1.2004054084298097,0,0,REGRESSION_GT_3PCT
bfs,soc-twitter,16,pull,2050.74,2056.07,1.0025990618020815,2050.74,2056.06,1.002594185513522,0,0,PASS
bfs,soc-twitter,16,push,1110.67,1042.18,0.9383345188039651,1110.66,1042.17,0.9383339635892172,0,0,PASS
bfs,soc-twitter,32,hybrid,712.414,846.271,1.1878921525966644,712.403,846.262,1.1878978611825048,0,0,REGRESSION_GT_3PCT
bfs,soc-twitter,32,pull,2218.14,2067.32,0.9320060951968768,2218.13,2067.32,0.9320102969618553,0,0,PASS
bfs,soc-twitter,32,push,1376.11,1291.01,0.9381590134509596,1376.11,1291.0,0.9381517465900255,0,0,PASS
bfs,soc-twitter,64,hybrid,2218.47,3431.3,1.5466965972043798,2218.47,3431.31,1.546701104815481,0,0,REGRESSION_GT_3PCT
bfs,soc-twitter,64,pull,9990.93,8580.45,0.8588239533256664,9990.96,8580.47,0.8588233763322043,0,0,PASS
bfs,soc-twitter,64,push,1802.91,1702.49,0.9443011575730347,1802.91,1702.48,0.944295610984464,0,0,PASS
