algorithm,dataset,q,mode,refactor_wall_ms,refactor_gpu_ms,refactor_status,cpu_reference_check
sssp,cit-Patents,16,hybrid,126.801,126.788,0,no
sssp,cit-Patents,16,pull,210.129,210.117,0,no
sssp,cit-Patents,16,push,395.815,395.803,0,no
sssp,cit-Patents,32,hybrid,167.066,167.052,0,no
sssp,cit-Patents,32,pull,271.597,271.585,0,no
sssp,cit-Patents,32,push,582.675,582.665,0,no
sssp,cit-Patents,64,hybrid,374.834,374.823,0,no
sssp,cit-Patents,64,pull,577.654,577.644,0,no
sssp,cit-Patents,64,push,949.35,949.333,0,no
sssp,soc-orkut,16,hybrid,312.98,312.968,0,no
sssp,soc-orkut,16,pull,561.898,561.886,0,no
sssp,soc-orkut,16,push,844.311,844.293,0,no
sssp,soc-orkut,32,hybrid,374.084,374.072,0,no
sssp,soc-orkut,32,pull,675.395,675.384,0,no
sssp,soc-orkut,32,push,1819.25,1819.24,0,no
sssp,soc-orkut,64,hybrid,958.578,958.569,0,no
sssp,soc-orkut,64,pull,1737.62,1737.61,0,no
sssp,soc-orkut,64,push,4077.22,4077.23,0,no
sssp,soc-sinaweibo,16,hybrid,801.911,801.898,0,no
sssp,soc-sinaweibo,16,pull,1282.23,1282.22,0,no
sssp,soc-sinaweibo,16,push,2120.01,2120.0,0,no
sssp,soc-sinaweibo,32,hybrid,1295.57,1295.56,0,no
sssp,soc-sinaweibo,32,pull,1627.6,1627.6,0,no
sssp,soc-sinaweibo,32,push,3670.51,3670.51,0,no
sssp,soc-sinaweibo,64,hybrid,2498.22,2498.21,0,no
sssp,soc-sinaweibo,64,pull,3566.66,3566.66,0,no
sssp,soc-sinaweibo,64,push,9476.77,9476.81,0,no
sssp,soc-twitter,16,hybrid,1447.52,1447.51,0,no
sssp,soc-twitter,16,pull,3479.45,3479.46,0,no
sssp,soc-twitter,16,push,1611.5,1611.5,0,no
sssp,soc-twitter,32,hybrid,1830.84,1830.83,0,no
sssp,soc-twitter,32,pull,3700.13,3700.14,0,no
sssp,soc-twitter,32,push,2920.59,2920.58,0,no
sssp,soc-twitter,64,hybrid,5734.95,5734.97,0,no
sssp,soc-twitter,64,pull,12987.6,12987.7,0,no
sssp,soc-twitter,64,push,5965.12,5965.14,0,no
